FIPS,Countyname,FiveYearAgeGroups,NetMig9500,NetMig0010,NetMig1020,Rate9500,Rate0010,Rate1020
1,Adams,0,0,-837,243,0,-0.0223,0.006222473
1,Adams,5,3229,441,2077,0.114046551,0.0119,0.052967128
1,Adams,10,2014,4186,2717,0.075413765,0.1253,0.064558285
1,Adams,15,1522,1636,1939,0.05922179,0.0542,0.047178763
1,Adams,20,5339,3226,2123,0.205180431,0.1086,0.055213128
1,Adams,25,8663,10418,3384,0.298847799,0.2916,0.091085271
1,Adams,30,5704,9718,5610,0.188942992,0.2699,0.149867764
1,Adams,35,3429,4551,4406,0.115248882,0.1329,0.104583541
1,Adams,40,2330,2250,2130,0.080995585,0.0718,0.052349587
1,Adams,45,973,499,1749,0.040772712,0.0165,0.046878769
1,Adams,50,1132,1077,358,0.054863568,0.0381,0.01085638
1,Adams,55,640,1173,949,0.044577558,0.05,0.03076973
1,Adams,60,-143,635,-456,-0.012748507,0.0334,-0.016510971
1,Adams,65,-221,-42,-743,-0.024536472,-0.0034,-0.0339161
1,Adams,70,59,-232,-1211,0.00794185,-0.0258,-0.072833343
1,Adams,75,-59,-92,-569,-0.010819732,-0.0134,-0.055157038
1,Adams,80,226,50,-120,0.073186528,0.0104,-0.018126888
1,Adams,85,537,596,-17,0.323688969,0.1514,-0.002522255
3,Alamosa,0,0,-56,8,0,-0.0461,0.007407407
3,Alamosa,5,-43,-157,89,-0.037229437,-0.1483,0.074228524
3,Alamosa,10,-121,-70,56,-0.100665557,-0.0726,0.043444531
3,Alamosa,15,205,167,425,0.13015873,0.1268,0.280158207
3,Alamosa,20,161,417,633,0.105504587,0.2588,0.401395054
3,Alamosa,25,-309,-450,-302,-0.325605901,-0.4076,-0.314255983
3,Alamosa,30,-179,-614,-256,-0.201803833,-0.685,-0.262564103
3,Alamosa,35,8,-98,0,0.007759457,-0.1168,0
3,Alamosa,40,0,-76,43,0,-0.0957,0.047200878
3,Alamosa,45,-102,13,17,-0.094707521,0.0129,0.019653179
3,Alamosa,50,-76,19,56,-0.082698585,0.0169,0.07079646
3,Alamosa,55,75,-3,19,0.120772947,-0.0029,0.019250253
3,Alamosa,60,42,3,5,0.081553398,0.0032,0.004686036
3,Alamosa,65,5,8,-52,0.011574074,0.0132,-0.055378062
3,Alamosa,70,15,0,-63,0.043859649,-0.0005,-0.087743733
3,Alamosa,75,17,-25,-58,0.065891473,-0.0813,-0.130925508
3,Alamosa,80,0,15,-32,0,0.0634,-0.10738255
3,Alamosa,85,-4,-6,-22,-0.029850746,-0.0277,-0.077464789
5,Arapahoe,0,0,184,498,0,0.0045,0.011500092
5,Arapahoe,5,2399,2400,1764,0.065753049,0.058,0.040756914
5,Arapahoe,10,2677,6591,3722,0.070012554,0.1638,0.080723519
5,Arapahoe,15,-220,2625,1717,-0.0064168,0.0672,0.03803132
5,Arapahoe,20,591,-3246,-920,0.019548822,-0.0931,-0.022771714
5,Arapahoe,25,8595,8904,2059,0.227905497,0.2075,0.044233909
5,Arapahoe,30,5108,11926,12486,0.13533994,0.2859,0.241972055
5,Arapahoe,35,1979,4263,8030,0.046913522,0.1023,0.144149643
5,Arapahoe,40,2237,3118,3574,0.050677359,0.0769,0.073783522
5,Arapahoe,45,1275,1124,3677,0.031232394,0.0264,0.079185959
5,Arapahoe,50,-938,-363,2068,-0.02718289,-0.0085,0.046762997
5,Arapahoe,55,-1575,-2053,2796,-0.069894382,-0.0551,0.063879369
5,Arapahoe,60,-544,-2398,72,-0.03453749,-0.0787,0.001768477
5,Arapahoe,65,-563,-1520,-842,-0.046109746,-0.0784,-0.024965902
5,Arapahoe,70,-156,-619,-1794,-0.014740622,-0.0469,-0.067077958
5,Arapahoe,75,283,149,-776,0.031146819,0.0149,-0.046902387
5,Arapahoe,80,303,503,-126,0.054165177,0.0653,-0.012362637
5,Arapahoe,85,924,2275,188,0.286422815,0.2907,0.017241379
7,Archuleta,0,0,2,-8,0,0.004,-0.014010508
7,Archuleta,5,163,37,116,0.244011976,0.0584,0.170337739
7,Archuleta,10,119,192,234,0.146732429,0.2667,0.309933775
7,Archuleta,15,-44,22,239,-0.058666667,0.0326,0.351988218
7,Archuleta,20,-102,-350,38,-0.247572816,-0.7651,0.062602965
7,Archuleta,25,65,-182,-22,0.140692641,-0.3257,-0.03672788
7,Archuleta,30,105,177,204,0.217842324,0.3102,0.364285714
7,Archuleta,35,125,126,281,0.164473684,0.2194,0.375668449
7,Archuleta,40,154,174,298,0.170921199,0.2694,0.392621871
7,Archuleta,45,151,202,274,0.156801661,0.2134,0.36977058
7,Archuleta,50,227,240,291,0.256207675,0.2162,0.359259259
7,Archuleta,55,233,273,296,0.326788219,0.2269,0.273062731
7,Archuleta,60,106,429,228,0.20662768,0.336,0.187654321
7,Archuleta,65,126,159,276,0.270386266,0.1926,0.21835443
7,Archuleta,70,-19,56,87,-0.054131054,0.1062,0.072621035
7,Archuleta,75,-23,-36,55,-0.112745098,-0.0969,0.079479769
7,Archuleta,80,-24,-35,26,-0.244897959,-0.1478,0.065822785
7,Archuleta,85,-19,79,25,-0.37254902,0.4244,0.071022727
9,Baca,0,0,13,13,0,0.0598,0.062801932
9,Baca,5,-4,23,40,-0.014981273,0.1117,0.178571429
9,Baca,10,-11,-25,35,-0.033333333,-0.1022,0.156950673
9,Baca,15,-58,-20,-2,-0.171597633,-0.08,-0.011299435
9,Baca,20,-98,-193,-41,-0.616352201,-1.4777,-0.241176471
9,Baca,25,37,-137,-45,0.191709845,-0.6918,-0.254237288
9,Baca,30,8,2,54,0.038461538,0.0136,0.45
9,Baca,35,14,-19,49,0.050909091,-0.1102,0.24137931
9,Baca,40,-40,-6,51,-0.116959064,-0.0294,0.3
9,Baca,45,13,-15,31,0.03880597,-0.0574,0.172222222
9,Baca,50,27,-37,25,0.096085409,-0.1264,0.124378109
9,Baca,55,31,-22,25,0.117424242,-0.075,0.099206349
9,Baca,60,-4,2,3,-0.017621145,0.0095,0.010989011
9,Baca,65,13,4,-19,0.054621849,0.0184,-0.073643411
