"year","fips","place","type","cty","location","number","percent"
2020,"08001","Adams County",1,"08031","Denver County, CO",58219,35.1895505427819
2020,"08001","Adams County",1,"08059","Jefferson County, CO",28960,17.50441236914
2020,"08001","Adams County",1,"08005","Arapahoe County, CO",25116,15.1809675781533
2020,"08001","Adams County",1,"08013","Boulder County, CO",15915,9.61956915935301
2020,"08001","Adams County",1,"08014","Broomfield County, CO",8733,5.27852324653659
2020,"08001","Adams County",1,"08123","Weld County, CO",7328,4.42929329561664
2020,"08001","Adams County",1,"08035","Douglas County, CO",6225,3.76260245158483
2020,"08001","Adams County",1,"08041","El Paso County, CO",3953,2.38932811102246
2020,"08001","Adams County",1,"08069","Larimer County, CO",3597,2.17414956118082
2020,"08001","Adams County",1,"08047","Gilpin County, CO",559,0.337878677981674
2020,"08001","Adams County",1,"08101","Pueblo County, CO",549,0.331834336693987
2020,"08001","Adams County",1,"08037","Eagle County, CO",450,0.271995357945891
2020,"08001","Adams County",1,"08117","Summit County, CO",448,0.270786489688354
2020,"08001","Adams County",1,"08077","Mesa County, CO",427,0.258093372984212
2020,"08001","Adams County",1,"08087","Morgan County, CO",242,0.146273059162013
2020,"08001","Adams County",1,"08039","Elbert County, CO",180,0.108798143178356
2020,"08001","Adams County",1,"08049","Grand County, CO",179,0.108193709049588
2020,"08001","Adams County",1,"08045","Garfield County, CO",176,0.106380406663282
2020,"08001","Adams County",1,"06037","Los Angeles County, CA",144,0.0870385145426851
2020,"08001","Adams County",1,"08019","Clear Creek County, CO",123,0.0743453978385435
2020,"08001","Adams County",1,"08097","Pitkin County, CO",120,0.0725320954522376
2020,"08001","Adams County",1,"08067","La Plata County, CO",118,0.0713232271947003
2020,"08001","Adams County",1,"08107","Routt County, CO",111,0.0670921882933198
2020,"08001","Adams County",1,"08075","Logan County, CO",103,0.0622567152631706
2020,"08001","Adams County",1,"08043","Fremont County, CO",102,0.061652281134402
2020,"08001","Adams County",1,"08085","Montrose County, CO",95,0.0574212422330214
2020,"08001","Adams County",1,"49035","Salt Lake County, UT",90,0.0543990715891782
2020,"08001","Adams County",1,"08015","Chaffee County, CO",83,0.0501680326877977
2020,"08001","Adams County",1,"08003","Alamosa County, CO",74,0.0447281255288799
2020,"08001","Adams County",1,"56021","Laramie County, WY",73,0.0441236914001112
2020,"08001","Adams County",1,"08119","Teller County, CO",72,0.0435192572713426
2020,"08001","Adams County",1,"32003","Clark County, NV",62,0.0374749159836561
2020,"08001","Adams County",1,"31055","Douglas County, NE",58,0.0350571794685815
2020,"08001","Adams County",1,"35001","Bernalillo County, NM",53,0.0320350088247383
2020,"08001","Adams County",1,"56025","Natrona County, WY",49,0.0296172723096637
2020,"08001","Adams County",1,"56001","Albany County, WY",40,0.0241773651507459
2020,"08001","Adams County",1,"08083","Montezuma County, CO",38,0.0229684968932086
2020,"08001","Adams County",1,"48375","Potter County, TX",38,0.0229684968932086
2020,"08001","Adams County",1,"04013","Maricopa County, AZ",37,0.0223640627644399
2020,"08001","Adams County",1,"08029","Delta County, CO",37,0.0223640627644399
2020,"08001","Adams County",1,"08051","Gunnison County, CO",37,0.0223640627644399
2020,"08001","Adams County",1,"08093","Park County, CO",36,0.0217596286356713
2020,"08001","Adams County",1,"15001","Hawaii County, HI",35,0.0211551945069026
2020,"08001","Adams County",1,"06059","Orange County, CA",34,0.020550760378134
2020,"08001","Adams County",1,"48113","Dallas County, TX",34,0.020550760378134
2020,"08001","Adams County",1,"08081","Moffat County, CO",32,0.0193418921205967
2020,"08001","Adams County",1,"17031","Cook County, IL",32,0.0193418921205967
2020,"08001","Adams County",1,"08073","Lincoln County, CO",31,0.018737457991828
2020,"08001","Adams County",1,"31109","Lancaster County, NE",28,0.0169241556055221
2020,"08001","Adams County",1,"08099","Prowers County, CO",27,0.0163197214767535
2020,"08001","Adams County",1,"08089","Otero County, CO",26,0.0157152873479848
2020,"08001","Adams County",1,"30111","Yellowstone County, MT",26,0.0157152873479848
2020,"08001","Adams County",1,"56007","Carbon County, WY",26,0.0157152873479848
2020,"08001","Adams County",1,"49011","Davis County, UT",25,0.0151108532192162
2020,"08001","Adams County",1,"08065","Lake County, CO",24,0.0145064190904475
2020,"08001","Adams County",1,"06039","Madera County, CA",23,0.0139019849616789
2020,"08001","Adams County",1,"20173","Sedgwick County, KS",22,0.0132975508329102
2020,"08001","Adams County",1,"48341","Moore County, TX",22,0.0132975508329102
2020,"08001","Adams County",1,"53077","Yakima County, WA",22,0.0132975508329102
2020,"08001","Adams County",1,"08007","Archuleta County, CO",21,0.0126931167041416
2020,"08001","Adams County",1,"36061","New York County, NY",21,0.0126931167041416
2020,"08001","Adams County",1,"48303","Lubbock County, TX",21,0.0126931167041416
2020,"08001","Adams County",1,"49049","Utah County, UT",21,0.0126931167041416
2020,"08001","Adams County",1,"06085","Santa Clara County, CA",20,0.0120886825753729
2020,"08001","Adams County",1,"06075","San Francisco County, CA",19,0.0114842484466043
2020,"08001","Adams County",1,"48439","Tarrant County, TX",19,0.0114842484466043
2020,"08001","Adams County",1,"56039","Teton County, WY",19,0.0114842484466043
2020,"08001","Adams County",1,"06081","San Mateo County, CA",18,0.0108798143178356
2020,"08001","Adams County",1,"31157","Scotts Bluff County, NE",18,0.0108798143178356
2020,"08001","Adams County",1,"35049","Santa Fe County, NM",18,0.0108798143178356
2020,"08001","Adams County",1,"08105","Rio Grande County, CO",17,0.010275380189067
2020,"08001","Adams County",1,"38105","Williams County, ND",17,0.010275380189067
2020,"08001","Adams County",1,"51059","Fairfax County, VA",17,0.010275380189067
2020,"08001","Adams County",1,"56005","Campbell County, WY",17,0.010275380189067
2020,"08001","Adams County",1,"06073","San Diego County, CA",16,0.00967094606029835
2020,"08001","Adams County",1,"08103","Rio Blanco County, CO",16,0.00967094606029835
2020,"08001","Adams County",1,"08109","Saguache County, CO",16,0.00967094606029835
2020,"08001","Adams County",1,"35045","San Juan County, NM",16,0.00967094606029835
2020,"08001","Adams County",1,"48201","Harris County, TX",16,0.00967094606029835
2020,"08001","Adams County",1,"08071","Las Animas County, CO",14,0.00846207780276105
2020,"08001","Adams County",1,"12057","Hillsborough County, FL",14,0.00846207780276105
2020,"08001","Adams County",1,"35043","Sandoval County, NM",14,0.00846207780276105
2020,"08001","Adams County",1,"53033","King County, WA",14,0.00846207780276105
2020,"08001","Adams County",1,"04005","Coconino County, AZ",13,0.00785764367399241
2020,"08001","Adams County",1,"12033","Escambia County, FL",13,0.00785764367399241
2020,"08001","Adams County",1,"31153","Sarpy County, NE",13,0.00785764367399241
2020,"08001","Adams County",1,"56023","Lincoln County, WY",13,0.00785764367399241
2020,"08001","Adams County",1,"06019","Fresno County, CA",12,0.00725320954522376
2020,"08001","Adams County",1,"06065","Riverside County, CA",12,0.00725320954522376
2020,"08001","Adams County",1,"06083","Santa Barbara County, CA",12,0.00725320954522376
2020,"08001","Adams County",1,"08021","Conejos County, CO",12,0.00725320954522376
2020,"08001","Adams County",1,"08063","Kit Carson County, CO",12,0.00725320954522376
2020,"08001","Adams County",1,"08125","Yuma County, CO",12,0.00725320954522376
2020,"08001","Adams County",1,"11001","District of Columbia, DC",12,0.00725320954522376
2020,"08001","Adams County",1,"20175","Seward County, KS",12,0.00725320954522376
2020,"08001","Adams County",1,"48357","Ochiltree County, TX",12,0.00725320954522376
2020,"08001","Adams County",1,"06001","Alameda County, CA",11,0.00664877541645512
2020,"08001","Adams County",1,"08055","Huerfano County, CO",11,0.00664877541645512
2020,"08001","Adams County",1,"31029","Chase County, NE",11,0.00664877541645512
2020,"08001","Adams County",1,"38053","McKenzie County, ND",11,0.00664877541645512
2020,"08001","Adams County",1,"47167","Tipton County, TN",11,0.00664877541645512
2020,"08001","Adams County",1,"49019","Grand County, UT",11,0.00664877541645512
2020,"08001","Adams County",1,"53047","Okanogan County, WA",11,0.00664877541645512
2020,"08001","Adams County",1,"20055","Finney County, KS",10,0.00604434128768647
2020,"08001","Adams County",1,"35028","Los Alamos County, NM",10,0.00604434128768647
2020,"08001","Adams County",1,"48189","Hale County, TX",10,0.00604434128768647
2020,"08001","Adams County",1,"53025","Grant County, WA",10,0.00604434128768647
2020,"08001","Adams County",1,"20051","Ellis County, KS",9,0.00543990715891782
2020,"08001","Adams County",1,"31033","Cheyenne County, NE",9,0.00543990715891782
2020,"08001","Adams County",1,"35025","Lea County, NM",9,0.00543990715891782
2020,"08001","Adams County",1,"40153","Woodward County, OK",9,0.00543990715891782
2020,"08001","Adams County",1,"56009","Converse County, WY",9,0.00543990715891782
2020,"08001","Adams County",1,"56037","Sweetwater County, WY",9,0.00543990715891782
2020,"08001","Adams County",1,"06029","Kern County, CA",8,0.00483547303014917
2020,"08001","Adams County",1,"06067","Sacramento County, CA",8,0.00483547303014917
2020,"08001","Adams County",1,"06111","Ventura County, CA",8,0.00483547303014917
2020,"08001","Adams County",1,"35031","McKinley County, NM",8,0.00483547303014917
2020,"08001","Adams County",1,"36029","Erie County, NY",8,0.00483547303014917
2020,"08001","Adams County",1,"36103","Suffolk County, NY",8,0.00483547303014917
2020,"08001","Adams County",1,"46099","Minnehaha County, SD",8,0.00483547303014917
2020,"08001","Adams County",1,"48141","El Paso County, TX",8,0.00483547303014917
2020,"08001","Adams County",1,"48381","Randall County, TX",8,0.00483547303014917
2020,"08001","Adams County",1,"49057","Weber County, UT",8,0.00483547303014917
2020,"08001","Adams County",1,"53073","Whatcom County, WA",8,0.00483547303014917
2020,"08001","Adams County",1,"08027","Custer County, CO",7,0.00423103890138053
2020,"08001","Adams County",1,"08113","San Miguel County, CO",7,0.00423103890138053
2020,"08001","Adams County",1,"12103","Pinellas County, FL",7,0.00423103890138053
2020,"08001","Adams County",1,"15003","Honolulu County, HI",7,0.00423103890138053
2020,"08001","Adams County",1,"17043","DuPage County, IL",7,0.00423103890138053
2020,"08001","Adams County",1,"24031","Montgomery County, MD",7,0.00423103890138053
2020,"08001","Adams County",1,"27053","Hennepin County, MN",7,0.00423103890138053
2020,"08001","Adams County",1,"31043","Dakota County, NE",7,0.00423103890138053
2020,"08001","Adams County",1,"31151","Saline County, NE",7,0.00423103890138053
2020,"08001","Adams County",1,"35039","Rio Arriba County, NM",7,0.00423103890138053
2020,"08001","Adams County",1,"38089","Stark County, ND",7,0.00423103890138053
2020,"08001","Adams County",1,"40109","Oklahoma County, OK",7,0.00423103890138053
2020,"08001","Adams County",1,"46081","Lawrence County, SD",7,0.00423103890138053
2020,"08001","Adams County",1,"46102","Oglala Lakota County, SD",7,0.00423103890138053
2020,"08001","Adams County",1,"47157","Shelby County, TN",7,0.00423103890138053
2020,"08001","Adams County",1,"48453","Travis County, TX",7,0.00423103890138053
2020,"08001","Adams County",1,"08091","Ouray County, CO",6,0.00362660477261188
2020,"08001","Adams County",1,"12099","Palm Beach County, FL",6,0.00362660477261188
2020,"08001","Adams County",1,"12109","St. Johns County, FL",6,0.00362660477261188
2020,"08001","Adams County",1,"16047","Gooding County, ID",6,0.00362660477261188
2020,"08001","Adams County",1,"20057","Ford County, KS",6,0.00362660477261188
2020,"08001","Adams County",1,"24027","Howard County, MD",6,0.00362660477261188
2020,"08001","Adams County",1,"25017","Middlesex County, MA",6,0.00362660477261188
2020,"08001","Adams County",1,"29095","Jackson County, MO",6,0.00362660477261188
2020,"08001","Adams County",1,"31013","Box Butte County, NE",6,0.00362660477261188
2020,"08001","Adams County",1,"34023","Middlesex County, NJ",6,0.00362660477261188
2020,"08001","Adams County",1,"40139","Texas County, OK",6,0.00362660477261188
2020,"08001","Adams County",1,"41051","Multnomah County, OR",6,0.00362660477261188
