year,fips,place,livein_workout,liveout_workin,livein_workin
2020,001,Adams County,165444,154200,70042
2020,003,Alamosa County,3085,3088,3587
2020,005,Arapahoe County,200122,220377,108473
2020,007,Archuleta County,1567,1187,2854
2020,009,Baca County,398,216,870
2020,011,Bent County,1016,466,555
2020,013,Boulder County,57851,94227,72437
2020,014,Broomfield County,31242,33953,4561
2020,015,Chaffee County,3263,2515,4778
2020,017,Cheyenne County,310,325,303
2020,019,Clear Creek County,3330,1972,841
2020,021,Conejos County,1338,594,775
2020,023,Costilla County,625,420,501
2020,025,Crowley County,870,456,297
2020,027,Custer County,758,316,487
2020,029,Delta County,5290,2713,4764
2020,031,Denver County,180085,340768,150383
2020,033,Dolores County,430,175,262
2020,035,Douglas County,130103,82432,45444
2020,037,Eagle County,10454,13687,13734
2020,039,Elbert County,12320,2190,1396
2020,041,El Paso County,71347,59494,202557
2020,043,Fremont County,9796,3677,6833
2020,045,Garfield County,13783,7203,15089
2020,047,Gilpin County,1876,2998,593
2020,049,Grand County,2768,3700,2909
2020,051,Gunnison County,2597,2229,4475
2020,053,Hinsdale County,191,80,131
2020,055,Huerfano County,1248,495,852
2020,057,Jackson County,292,139,281
2020,059,Jefferson County,190221,149494,95058
2020,061,Kiowa County,338,166,319
2020,063,Kit Carson County,1207,877,1722
2020,065,Lake County,3322,620,1139
2020,067,La Plata County,5397,6732,17349
2020,069,Larimer County,61109,55597,91050
2020,071,Las Animas County,2533,1282,3073
2020,073,Lincoln County,1165,1044,991
2020,075,Logan County,4452,2325,4645
2020,077,Mesa County,13061,11925,45196
2020,079,Mineral County,192,156,209
2020,081,Moffat County,3230,1166,3091
2020,083,Montezuma County,3432,2177,6219
2020,085,Montrose County,6672,4830,9694
2020,087,Morgan County,6701,3963,7926
2020,089,Otero County,3423,1815,3784
2020,091,Ouray County,1153,924,835
2020,093,Park County,5429,1202,1084
2020,095,Phillips County,928,545,1033
2020,097,Pitkin County,3053,9653,6137
2020,099,Prowers County,2069,1195,3038
2020,101,Pueblo County,20539,15159,38942
2020,103,Rio Blanco County,863,972,1771
2020,105,Rio Grande County,2481,1418,2059
2020,107,Routt County,4017,5070,7804
2020,109,Saguache County,1080,764,757
2020,111,San Juan County,121,124,172
2020,113,San Miguel County,801,2917,2758
2020,115,Sedgwick County,444,251,311
2020,117,Summit County,6711,9265,6658
2020,119,Teller County,7207,3370,3575
2020,121,Washington County,1449,314,625
2020,123,Weld County,104976,46979,59518
2020,125,Yuma County,1339,1217,2641
