countyfips,countyname,age,netMigration,geonum
000,Colorado,0,-1098.09,108000
000,Colorado,1,-1133.32,108000
000,Colorado,2,-1156.37,108000
000,Colorado,3,174.26,108000
000,Colorado,4,1183.95,108000
000,Colorado,5,1672.66,108000
000,Colorado,6,2794.45,108000
000,Colorado,7,1830.36,108000
000,Colorado,8,2001.57,108000
000,Colorado,9,3828.75,108000
000,Colorado,10,8960.38,108000
000,Colorado,11,7599.85,108000
000,Colorado,12,8070.9,108000
000,Colorado,13,7034.98,108000
000,Colorado,14,6181.54,108000
000,Colorado,15,6525.98,108000
000,Colorado,16,6595.07,108000
000,Colorado,17,5648.76,108000
000,Colorado,18,6112,108000
000,Colorado,19,6650.27,108000
000,Colorado,20,6214.39,108000
000,Colorado,21,6906.81,108000
000,Colorado,22,6584.21,108000
000,Colorado,23,8737.94,108000
000,Colorado,24,11047.61,108000
000,Colorado,25,12972.17,108000
000,Colorado,26,13693.73,108000
000,Colorado,27,14140.42,108000
000,Colorado,28,14675.41,108000
000,Colorado,29,13619.22,108000
000,Colorado,30,14569.75,108000
000,Colorado,31,12512.3,108000
000,Colorado,32,10697.86,108000
000,Colorado,33,8545.72,108000
000,Colorado,34,7037.4,108000
000,Colorado,35,5487.95,108000
000,Colorado,36,6474.37,108000
000,Colorado,37,4175.01,108000
000,Colorado,38,3544.96,108000
000,Colorado,39,3432.25,108000
000,Colorado,40,3079.64,108000
000,Colorado,41,6198.86,108000
000,Colorado,42,4961.72,108000
000,Colorado,43,4487.77,108000
000,Colorado,44,3098.63,108000
000,Colorado,45,1193.92,108000
000,Colorado,46,2647.01,108000
000,Colorado,47,2979.74,108000
000,Colorado,48,1961.62,108000
000,Colorado,49,2508.48,108000
000,Colorado,50,1826.07,108000
000,Colorado,51,3846.53,108000
000,Colorado,52,1116.47,108000
000,Colorado,53,2418.57,108000
000,Colorado,54,2569.32,108000
000,Colorado,55,941.74,108000
000,Colorado,56,2472.86,108000
000,Colorado,57,1477.44,108000
000,Colorado,58,1674.62,108000
000,Colorado,59,1639.98,108000
000,Colorado,60,122.05,108000
000,Colorado,61,1625.73,108000
000,Colorado,62,888.62,108000
000,Colorado,63,1742.14,108000
000,Colorado,64,5194.65,108000
000,Colorado,65,940.67,108000
000,Colorado,66,1138.29,108000
000,Colorado,67,1687.16,108000
000,Colorado,68,2315.77,108000
000,Colorado,69,1812.76,108000
000,Colorado,70,1139.55,108000
000,Colorado,71,1520.67,108000
000,Colorado,72,1576.24,108000
000,Colorado,73,1111.1,108000
000,Colorado,74,741.13,108000
000,Colorado,75,422.69,108000
000,Colorado,76,1343.98,108000
000,Colorado,77,527.29,108000
000,Colorado,78,503.16,108000
000,Colorado,79,712.99,108000
000,Colorado,80,646.91,108000
000,Colorado,81,1029.38,108000
000,Colorado,82,1202.66,108000
000,Colorado,83,1031.59,108000
000,Colorado,84,827.23,108000
000,Colorado,85,981.58,108000
000,Colorado,86,886.19,108000
000,Colorado,87,1455.27,108000
000,Colorado,88,694.97,108000
000,Colorado,89,1425.12,108000
000,Colorado,90,9786.05,108000
001,Adams,0,-134.99,108001
001,Adams,1,-281.42,108001
001,Adams,2,-316.18,108001
001,Adams,3,-64.42,108001
001,Adams,4,-33.87,108001
001,Adams,5,-10.78,108001
001,Adams,6,111.11,108001
001,Adams,7,122.79,108001
001,Adams,8,67.49,108001
001,Adams,9,185.94,108001
001,Adams,10,1022.03,108001
001,Adams,11,873.01,108001
001,Adams,12,1006.16,108001
001,Adams,13,741.11,108001
001,Adams,14,627.74,108001
001,Adams,15,615.65,108001
001,Adams,16,517.57,108001
001,Adams,17,463.07,108001
001,Adams,18,123.15,108001
001,Adams,19,-14.87,108001
001,Adams,20,75.08,108001
001,Adams,21,227.54,108001
001,Adams,22,543.63,108001
001,Adams,23,1048.07,108001
001,Adams,24,1357.34,108001
001,Adams,25,1792.69,108001
001,Adams,26,1951.29,108001
001,Adams,27,1934.53,108001
001,Adams,28,2289.26,108001
001,Adams,29,2484.14,108001
001,Adams,30,2470.61,108001
001,Adams,31,2185.7,108001
001,Adams,32,1982.39,108001
001,Adams,33,1635.78,108001
001,Adams,34,1468.82,108001
001,Adams,35,1294.94,108001
001,Adams,36,1251.36,108001
001,Adams,37,933.28,108001
001,Adams,38,710.4,108001
001,Adams,39,371.36,108001
001,Adams,40,594.08,108001
001,Adams,41,656.48,108001
001,Adams,42,431.7,108001
001,Adams,43,278.96,108001
001,Adams,44,296.35,108001
001,Adams,45,106.05,108001
001,Adams,46,132.82,108001
001,Adams,47,185.27,108001
001,Adams,48,-0.19,108001
001,Adams,49,76.62,108001
001,Adams,50,38.57,108001
001,Adams,51,334.58,108001
001,Adams,52,113.89,108001
001,Adams,53,251.55,108001
001,Adams,54,338.32,108001
001,Adams,55,161.69,108001
001,Adams,56,253.54,108001
001,Adams,57,286.47,108001
001,Adams,58,230.09,108001
001,Adams,59,240.82,108001
001,Adams,60,31.22,108001
001,Adams,61,166,108001
001,Adams,62,30.16,108001
001,Adams,63,144.66,108001
001,Adams,64,263.4,108001
001,Adams,65,50.84,108001
001,Adams,66,-50.93,108001
001,Adams,67,-52.07,108001
001,Adams,68,46.89,108001
001,Adams,69,-36.92,108001
001,Adams,70,-49.74,108001
001,Adams,71,-65.66,108001
