fips,county,year,netmigration_1864,pop_1864,rate_1864,netmigration_total,pop_total,rate_total
000,Colorado,1970,29861,,,35636,2224610,1.6018987597826135
001,Adams County,1970,2385,,,3285,187058,1.7561398069048102
003,Alamosa County,1970,247,,,342,11484,2.978056426332288
005,Arapahoe County,1970,2728,,,3896,163683,2.380210528888156
007,Archuleta County,1970,-314,,,-380,2698,-14.084507042253522
009,Baca County,1970,-135,,,-190,5653,-3.3610472315584645
011,Bent County,1970,-264,,,-286,6488,-4.408138101109741
013,Boulder County,1970,4191,,,4903,133432,3.6745308471730924
014,Broomfield County,1970,,,,,,
015,Chaffee County,1970,197,,,265,10273,2.579577533339823
017,Cheyenne County,1970,-66,,,-80,2396,-3.33889816360601
019,Clear Creek County,1970,627,,,598,4993,11.97676747446425
021,Conejos County,1970,-309,,,-357,7829,-4.559969344743901
023,Costilla County,1970,-58,,,-63,3080,-2.0454545454545454
025,Crowley County,1970,-28,,,-27,3085,-0.8752025931928687
027,Custer County,1970,16,,,20,1131,1.7683465959328029
029,Delta County,1970,-116,,,-184,15316,-1.2013580569339253
031,Denver County,1970,-3197,,,-2542,515985,-0.4926499801350815
033,Dolores County,1970,-100,,,-118,1628,-7.2481572481572485
035,Douglas County,1970,489,,,711,8594,8.27321387014196
037,Eagle County,1970,1170,,,1042,7689,13.551827285732864
039,Elbert County,1970,36,,,54,3912,1.3803680981595092
041,El Paso County,1970,9566,,,9477,238384,3.9755184911739043
043,Fremont County,1970,392,,,643,22110,2.9081863410221622
045,Garfield County,1970,383,,,462,14965,3.0872034747744737
047,Gilpin County,1970,128,,,144,1301,11.068408916218294
049,Grand County,1970,281,,,301,4236,7.10576015108593
051,Gunnison County,1970,317,,,311,7714,4.031630801140783
053,Hinsdale County,1970,-6,,,-8,203,-3.9408866995073892
055,Huerfano County,1970,-87,,,-80,6527,-1.2256779531178184
057,Jackson County,1970,11,,,36,1850,1.9459459459459458
059,Jefferson County,1970,7391,,,10035,237712,4.221494918220368
061,Kiowa County,1970,-24,,,-47,2022,-2.324431256181998
063,Kit Carson County,1970,8,,,9,7579,0.11874917535294893
065,Lake County,1970,235,,,535,8313,6.435703115602069
067,La Plata County,1970,-475,,,-535,19316,-2.7697245806585213
069,Larimer County,1970,3647,,,4556,91179,4.996764605885127
071,Las Animas County,1970,-481,,,-540,15803,-3.417072707713725
073,Lincoln County,1970,47,,,53,4861,1.0903106356716725
075,Logan County,1970,-166,,,-155,18881,-0.8209310947513373
077,Mesa County,1970,278,,,387,54548,0.7094668915450613
079,Mineral County,1970,-5,,,51,794,6.423173803526448
081,Moffat County,1970,-162,,,-211,6569,-3.2120566296239916
083,Montezuma County,1970,-110,,,-171,13040,-1.3113496932515338
