gid,objectid,statefp,placefp,geoid,name,namelsad,geonum,x,y,geom
1,1,08,09555,0809555,Brush,Brush city,10809555,-103.632,40.2581,0101000020AD100000B457734E75E859C0D7F8AB9E0A214440
2,2,08,36610,0836610,Hillrose,Hillrose town,10836610,-103.522,40.3247,0101000020AD100000FB93FD4E6BE159C0D58E3D428E294440
3,3,08,45695,0845695,Log Lane Village,Log Lane Village town,10845695,-103.829,40.2702,0101000020AD100000CB455C9814F559C0CA42C9E896224440
4,4,08,84770,0884770,Wiggins,Wiggins town,10884770,-104.073,40.2275,0101000020AD1000007B0C7343AF045AC0C41950471E1D4440
5,5,08,33310,0833310,Grover,Grover town,10833310,-104.226,40.8691,0101000020AD1000005E7686AC750E5AC0EA65B2083F6F4440
6,6,08,13460,0813460,Cheraw,Cheraw town,10813460,-103.511,38.1081,0101000020AD10000045816E04B3E059C04814265CD60D4340
7,7,08,48500,0848500,Manzanola,Manzanola town,10848500,-103.867,38.1088,0101000020AD10000062893C4B79F759C03810C1F7ED0D4340
8,8,08,08345,0808345,Branson,Branson town,10808345,-103.884,37.0155,0101000020AD100000CE10DCCD8FF859C0FDE402AAFB814240
9,9,08,78610,0878610,Trinidad,Trinidad city,10878610,-104.491,37.1748,0101000020AD100000892711CF671F5AC0E72D7D3B61964240
10,10,08,40570,0840570,Kim,Kim town,10840570,-103.353,37.2471,0101000020AD100000B83CE64A9ED659C09BE5C5BD9F9F4240
11,11,08,26875,0826875,Fleming,Fleming town,10826875,-102.839,40.6818,0101000020AD10000070143A6FB9B559C0C58E0D4744574440
12,12,08,58235,0858235,Peetz,Peetz town,10858235,-103.114,40.962,0101000020AD10000082A4658F4FC759C0A999564F247B4440
13,13,08,43660,0843660,Las Animas,Las Animas city,10843660,-103.224,38.0695,0101000020AD100000A96491814ECE59C0E3DA15F3E5084340
14,14,08,28690,0828690,Frisco,Frisco town,10828690,-106.092,39.5794,0101000020AD100000C6F18260E1855AC07741118E29CA4340
15,15,08,53120,0853120,Naturita,Naturita town,10853120,-108.568,38.2186,0101000020AD1000001F7A6DCE5E245BC092791D95F91B4340
16,16,08,54935,0854935,Nucla,Nucla town,10854935,-108.549,38.2665,0101000020AD1000001DF984271E235BC0F23D35CC1D224340
17,17,08,55540,0855540,Olathe,Olathe town,10855540,-107.983,38.6083,0101000020AD1000005F52C1DEE6FE5AC00B75DC69DD4D4340
18,18,08,17375,0817375,Cortez,Cortez city,10817375,-108.577,37.3498,0101000020AD100000706DF29AEB245BC02DAA4817C7AC4240
19,19,08,66895,0866895,Rye,Rye town,10866895,-104.932,37.9213,0101000020AD100000BB01A519A83B5AC0EE198B8CECF54240
20,20,08,28305,0828305,Fraser,Fraser town,10828305,-105.803,39.9304,0101000020AD100000947522EA64735AC097275FBE15F74340
21,21,08,31715,0831715,Grand Lake,Grand Lake town,10831715,-105.824,40.2505,0101000020AD1000002C325F3CB7745AC05B02946A10204440
22,22,08,37600,0837600,Hot Sulphur Springs,Hot Sulphur Springs town,10837600,-106.102,40.0748,0101000020AD10000086B7B7208F865AC00AFCBB2694094440
23,23,08,41560,0841560,Kremmling,Kremmling town,10841560,-106.378,40.0565,0101000020AD100000845A66CA33985AC05B387CC93C074440
24,24,08,85705,0885705,Winter Park,Winter Park town,10885705,-105.783,39.8778,0101000020AD10000081ACE89819725AC035D0E7A45CF04340
